,region,state_name
0,New England,Connecticut
1,New England,Maine
2,New England,Massachusetts
3,New England,New Hampshire
4,New England,Rhode Island
5,New England,Vermont
6,Mideast,Delaware
7,Mideast,District of Columbia
8,Mideast,Maryland
9,Mideast,New Jersey
10,Mideast,New York
11,Mideast,Pennsylvania
12,Great Lakes,Illinois
13,Great Lakes,Indiana
14,Great Lakes,Michigan
15,Great Lakes,Ohio
16,Great Lakes,Wisconsin
17,Plains,Iowa
18,Plains,Kansas
19,Plains,Minnesota
20,Plains,Missouri
21,Plains,Nebraska
22,Plains,North Dakota
23,Plains,South Dakota
24,Southeast,Alabama
25,Southeast,Arkansas
26,Southeast,Florida
27,Southeast,Georgia
28,Southeast,Kentucky
29,Southeast,Louisiana
30,Southeast,Mississippi
31,Southeast,North Carolina
32,Southeast,South Carolina
33,Southeast,Tennessee
34,Southeast,Virginia
35,Southeast,West Virginia
36,Southwest,Arizona
37,Southwest,New Mexico
38,Southwest,Oklahoma
39,Southwest,Texas
40,Rocky Mountain,Colorado
41,Rocky Mountain,Idaho
42,Rocky Mountain,Montana
43,Rocky Mountain,Utah
44,Rocky Mountain,Wyoming
45,Far West,Alaska
46,Far West,California
47,Far West,Hawaii
48,Far West,Nevada
49,Far West,Oregon
50,Far West,Washington
